"","date","no2","ws","wd","temp"
"1","2013-01-01-00",27.4796178125,4.59285714285714,284.721428571429,7.97142857142857
"2","2013-01-01-01",30.3968575,4.75,300.921428571429,7.50714285714286
"3","2013-01-01-02",20.69647625,4.47142857142857,302.414285714286,6.45
"4","2013-01-01-03",27.1724865625,4.34285714285714,301.314285714286,5.58571428571429
"5","2013-01-01-04",25.1970234375,4.28571428571429,295.814285714286,4.89285714285714
"6","2013-01-01-05",26.1946,4.35714285714286,289.4,4.32857142857143
"7","2013-01-01-06",29.923556875,4.07142857142857,280.407142857143,3.82857142857143
"8","2013-01-01-07",36.398545625,4.11428571428571,276.142857142857,3.50714285714286
"9","2013-01-01-08",39.647455,4.31428571428571,277.328571428571,3.66428571428571
"10","2013-01-01-09",36.01261375,4.22857142857143,277.171428571429,4.82857142857143
"11","2013-01-01-10",34.659895,4.30714285714286,276.392857142857,5.92857142857143
"12","2013-01-01-11",31.5594784375,4.58571428571429,279.171428571429,6.73571428571429
"13","2013-01-01-12",30.38657625,4.86428571428571,283.771428571429,7.06428571428571
"14","2013-01-01-13",27.8417428125,4.75714285714286,280.7,6.87142857142857
"15","2013-01-01-14",28.69418,4.84285714285714,279.685714285714,6.17857142857143
"16","2013-01-01-15",38.507935,4.73571428571429,280.821428571429,5.54285714285714
"17","2013-01-01-16",54.197066875,4.84285714285714,281.307142857143,5.20714285714286
"18","2013-01-01-17",60.896016875,5.3,283.907142857143,5.1
"19","2013-01-01-18",57.0323034375,5.54285714285714,284.871428571429,4.9
"20","2013-01-01-19",52.4365053125,5.31428571428571,284.635714285714,4.65
"21","2013-01-01-20",51.6828471875,5.15714285714286,289.385714285714,4.55
"22","2013-01-01-21",53.4429753125,4.94285714285714,292.164285714286,4.61428571428571
"23","2013-01-01-22",52.0900453125,4.92857142857143,296.721428571429,4.72142857142857
"24","2013-01-01-23",49.9017275,5.01428571428571,300.592857142857,4.85
"25","2013-01-02-00",45.9325940625,4.37857142857143,287.742857142857,3.32142857142857
"26","2013-01-02-01",36.0937778125,4.22142857142857,286.692857142857,3.29285714285714
"27","2013-01-02-02",32.96899,4.09285714285714,287.007142857143,3.23571428571429
"28","2013-01-02-03",32.3451996875,4.02142857142857,286.7,3.17142857142857
"29","2013-01-02-04",35.523268125,3.89285714285714,283.65,3.07857142857143
"30","2013-01-02-05",41.9243609375,3.69285714285714,279.821428571429,2.88571428571429
"31","2013-01-02-06",55.8533675,3.58571428571429,272.9,2.72857142857143
"32","2013-01-02-07",63.633104375,3.30714285714286,268.485714285714,3.10714285714286
"33","2013-01-02-08",66.2555740625,3.13571428571429,264.307142857143,3.64285714285714
"34","2013-01-02-09",68.3021434375,3.25714285714286,260.514285714286,4.17857142857143
"35","2013-01-02-10",66.1551296875,2.92142857142857,238.807142857143,4.61428571428571
"36","2013-01-02-11",66.7760290625,3.28571428571429,202.885714285714,5.01428571428571
"37","2013-01-02-12",65.94433,4.04285714285714,209.092857142857,5.60714285714286
"38","2013-01-02-13",62.7208403125,4.38571428571429,226.121428571429,6.23571428571429
"39","2013-01-02-14",60.6287715625,4.42857142857143,230.714285714286,7.03571428571429
"40","2013-01-02-15",60.0515740625,4.31428571428571,239.221428571429,7.77142857142857
"41","2013-01-02-16",59.9422771875,4.23571428571429,250.835714285714,8.30714285714286
"42","2013-01-02-17",61.9645978125,4.2,258.764285714286,8.86428571428571
"43","2013-01-02-18",53.680034375,4.21428571428571,263.857142857143,9.41428571428571
"44","2013-01-02-19",48.7222525,4.30714285714286,266.992857142857,9.88571428571429
"45","2013-01-02-20",43.17719875,4.44285714285714,266.707142857143,10.3071428571429
"46","2013-01-02-21",39.4133384375,4.57857142857143,268.164285714286,10.5642857142857
"47","2013-01-02-22",42.966270625,4.62857142857143,266.407142857143,10.6714285714286
"48","2013-01-02-23",37.5958059375,4.74285714285714,268.214285714286,10.7571428571429
"49","2013-01-03-00",31.1680134375,4.52857142857143,278.2,8.40714285714286
"50","2013-01-03-01",27.4496659375,4.47142857142857,277.95,9.05
"51","2013-01-03-02",21.7443625,4.67857142857143,279.942857142857,9.7
"52","2013-01-03-03",20.2516865625,4.85714285714286,283.707142857143,10.0571428571429
"53","2013-01-03-04",23.552124375,4.79285714285714,283.2,10.3785714285714
"54","2013-01-03-05",27.9434771875,4.70714285714286,279.785714285714,10.6785714285714
"55","2013-01-03-06",38.15848375,4.6,279.414285714286,10.9428571428571
"56","2013-01-03-07",47.6718721875,4.59285714285714,278.228571428571,11
"57","2013-01-03-08",54.1322675,4.67857142857143,277.828571428571,10.9071428571429
"58","2013-01-03-09",52.363219375,4.55714285714286,277.05,10.8714285714286
"59","2013-01-03-10",54.628724375,4.42857142857143,274.614285714286,10.8857142857143
"60","2013-01-03-11",47.9124884375,4.52857142857143,272.957142857143,10.9357142857143
"61","2013-01-03-12",47.1542721875,4.63571428571429,270.942857142857,10.8857142857143
"62","2013-01-03-13",44.1365553125,4.74285714285714,271.4,10.8428571428571
"63","2013-01-03-14",46.6554571875,4.71428571428571,272.192857142857,10.7642857142857
"64","2013-01-03-15",55.45595375,4.65714285714286,275.692857142857,10.75
"65","2013-01-03-16",61.46691375,4.68571428571429,275.821428571429,10.85
"66","2013-01-03-17",62.295520625,4.82142857142857,275.1,11.0214285714286
"67","2013-01-03-18",53.7849390625,4.91428571428571,276.135714285714,11.1571428571429
"68","2013-01-03-19",47.863915,4.88571428571429,278.942857142857,11.1571428571429
"69","2013-01-03-20",42.431308125,4.76428571428571,276.542857142857,11.0714285714286
"70","2013-01-03-21",38.4944140625,4.32857142857143,275.042857142857,11.0571428571429
"71","2013-01-03-22",35.427599375,4.05,273.635714285714,10.9928571428571
"72","2013-01-03-23",28.3223328125,4.88571428571429,269.714285714286,10.9714285714286
"73","2013-01-04-00",23.47661625,4.17142857142857,264.6,7.98571428571429
"74","2013-01-04-01",17.0233228125,4.21428571428571,272.064285714286,8.42857142857143
"75","2013-01-04-02",16.468821875,4.12142857142857,276.814285714286,8.71428571428572
"76","2013-01-04-03",15.8828790625,4.17857142857143,277.085714285714,8.79285714285714
"77","2013-01-04-04",16.134329375,4.1,278.914285714286,8.91428571428571
"78","2013-01-04-05",20.734130625,4.09285714285714,277.014285714286,8.98571428571429
"79","2013-01-04-06",33.09926375,4.19285714285714,279.164285714286,9.03571428571428
"80","2013-01-04-07",39.7514471875,4.25714285714286,281.728571428571,8.96428571428572
"81","2013-01-04-08",47.9702665625,4.05714285714286,282.042857142857,8.84285714285714
"82","2013-01-04-09",52.00352,3.91428571428571,276.807142857143,8.87142857142857
"83","2013-01-04-10",48.3541265625,3.77142857142857,277.914285714286,9.07857142857143
"84","2013-01-04-11",45.6929875,3.79285714285714,278.864285714286,9.22857142857143
"85","2013-01-04-12",40.0838346875,3.87142857142857,280.721428571429,9.27142857142857
"86","2013-01-04-13",42.0600884375,4.00714285714286,282.585714285714,9.31428571428571
"87","2013-01-04-14",45.52524,3.89285714285714,285.6,9.19285714285714
"88","2013-01-04-15",48.5382053125,3.66428571428571,286.6,9.00714285714286
"89","2013-01-04-16",54.7255165625,3.40714285714286,281.164285714286,8.75
"90","2013-01-04-17",58.9583265625,3.23571428571429,275.885714285714,8.46428571428571
"91","2013-01-04-18",57.7486246875,3.09285714285714,269.185714285714,8.08571428571429
"92","2013-01-04-19",52.781325625,2.93571428571429,261.171428571429,7.71428571428571
"93","2013-01-04-20",46.5159434375,2.87142857142857,256.807142857143,7.32142857142857
"94","2013-01-04-21",43.7361571875,2.77142857142857,255.285714285714,6.92857142857143
"95","2013-01-04-22",41.038051875,2.7,255.5,6.65714285714286
"96","2013-01-04-23",39.5875840625,2.60714285714286,256.55,6.45714285714286
"97","2013-01-05-00",35.5681196875,2.14285714285714,255.842857142857,5.06428571428571
"98","2013-01-05-01",25.202806875,2.15714285714286,258.642857142857,5.21428571428571
"99","2013-01-05-02",20.4345103125,2.15714285714286,254.371428571429,5.37142857142857
"100","2013-01-05-03",17.967683125,2.5,253.985714285714,5.57857142857143
"101","2013-01-05-04",23.162348125,2.77142857142857,244.257142857143,5.85714285714286
"102","2013-01-05-05",31.92711125,2.86428571428571,244.692857142857,6.18571428571429
