datetime,no2,month,dayofmonth,dayofweek
2013-01-01 00:00:00,27.4796178125,1,1,1
2013-01-01 01:00:00,30.3968575,1,1,1
2013-01-01 02:00:00,20.69647625,1,1,1
2013-01-01 03:00:00,27.1724865625,1,1,1
2013-01-01 04:00:00,25.1970234375,1,1,1
2013-01-01 05:00:00,26.1946,1,1,1
2013-01-01 06:00:00,29.923556875,1,1,1
2013-01-01 07:00:00,36.398545625,1,1,1
2013-01-01 08:00:00,39.647455,1,1,1
2013-01-01 09:00:00,36.01261375,1,1,1
2013-01-01 10:00:00,34.659895,1,1,1
2013-01-01 11:00:00,31.5594784375,1,1,1
2013-01-01 12:00:00,30.38657625,1,1,1
2013-01-01 13:00:00,27.8417428125,1,1,1
2013-01-01 14:00:00,28.69418,1,1,1
2013-01-01 15:00:00,38.507934999999996,1,1,1
2013-01-01 16:00:00,54.197066875,1,1,1
2013-01-01 17:00:00,60.896016875,1,1,1
2013-01-01 18:00:00,57.0323034375,1,1,1
2013-01-01 19:00:00,52.4365053125,1,1,1
2013-01-01 20:00:00,51.6828471875,1,1,1
2013-01-01 21:00:00,53.4429753125,1,1,1
2013-01-01 22:00:00,52.0900453125,1,1,1
2013-01-01 23:00:00,49.9017275,1,1,1
2013-01-02 00:00:00,45.9325940625,1,2,2
2013-01-02 01:00:00,36.0937778125,1,2,2
2013-01-02 02:00:00,32.968990000000005,1,2,2
2013-01-02 03:00:00,32.3451996875,1,2,2
2013-01-02 04:00:00,35.523268125,1,2,2
2013-01-02 05:00:00,41.9243609375,1,2,2
2013-01-02 06:00:00,55.853367500000004,1,2,2
2013-01-02 07:00:00,63.633104375,1,2,2
2013-01-02 08:00:00,66.2555740625,1,2,2
2013-01-02 09:00:00,68.3021434375,1,2,2
2013-01-02 10:00:00,66.1551296875,1,2,2
2013-01-02 11:00:00,66.7760290625,1,2,2
2013-01-02 12:00:00,65.94433000000001,1,2,2
2013-01-02 13:00:00,62.7208403125,1,2,2
2013-01-02 14:00:00,60.6287715625,1,2,2
2013-01-02 15:00:00,60.0515740625,1,2,2
2013-01-02 16:00:00,59.9422771875,1,2,2
2013-01-02 17:00:00,61.9645978125,1,2,2
2013-01-02 18:00:00,53.680034375,1,2,2
2013-01-02 19:00:00,48.7222525,1,2,2
2013-01-02 20:00:00,43.17719875,1,2,2
2013-01-02 21:00:00,39.4133384375,1,2,2
2013-01-02 22:00:00,42.966270625,1,2,2
2013-01-02 23:00:00,37.5958059375,1,2,2
2013-01-03 00:00:00,31.1680134375,1,3,3
2013-01-03 01:00:00,27.4496659375,1,3,3
2013-01-03 02:00:00,21.7443625,1,3,3
2013-01-03 03:00:00,20.2516865625,1,3,3
2013-01-03 04:00:00,23.552124375,1,3,3
2013-01-03 05:00:00,27.9434771875,1,3,3
2013-01-03 06:00:00,38.15848375,1,3,3
